taxi_id,taxi_id_encoded
3767536e5623ed437fc50a5f0dc6be0167a94654b789b1c2d97ddf6cf07c49e40acfc0b6f57a9a064ebb87d95ec78527ed7ebadd68f53d0f4909562e1c70a8a7,68
5d7801992a88d2d1340e703e6ff8efd44302443c3e40589842f98b2859cd9f46e3ae6ecbbf7faf3253d115a3d81eb2d1e4d8ce59e995f10581067a9d0bfb993e,69
8c76eb82f069c0731a0049cb78898f02cc5ac6990244c9f23ce4c5b179ff673b93b41388abfa1ffd3acdbeb4801f9dda7239b315c547c6fabced3482e927f7f2,70
1acb04c857af31081be646567d63ac255fd46acef2c3f13733692d8f38ef364e77fe4d8439adcaf33d28c3f2234a4e51c43b2523e6dfcff525739e9cb6903bb6,71
19bdccbc936f2f02882b69fd9e71ad97b9e783ba96a8c3b7a9d74a663cb1cd5f074aeab77e616155a3d5e642c1a665289f25b4fd1639ab153f98c864b782d8ff,72
57fa54b44d1e25d82c1de3200158c2475a894490b1c32c4b5356e694a3d15f896fc0ffebb9422cc1875ebd24a578bd9e80d7143e444d36e8ec39f08f19bad982,73
58b1c31975c36cd531a400d3251e6e31d1ede876dce437cf9bdc3d52c34f7225b59a04b11086d90b898f9f430bcbde3da510ba2230f9ac4d60fa03960ab99efb,74
42560393a9c9b9ae28339f4b5aec77fd89bd49916ad54175d9ee679d69939f973c177065f2816d7990a6663a07270335a4a852190c3258497ba7978edced68c8,75
8b43f4a681efdaeb470b8570f8f98c822c7ba15a0f740a23f0daad0c5f3987cab4c12b3df5360160575f4580b037a75de9bed0a706ac9b36d0dbdcb57f8ed3fb,76
c3fe9312c9722befcf39d581225faa3d8dfae24c783c7443d360a6ffd567782720616e61ad54176b81d68a5611199c2fa710d69cc8427bc3d9d08bd8f9bab052,77
93502288be804bfc4398d5811edafef2da2f57aa7fab00269cdae44a2620df012e672347d10925f0a2887d94e8fcb68777e19357d546edd7d5992825394fa6d5,78
8c98e1cdb3dab1bc678b683ceee6e1b39399a7670622e9937281af0b40c1641f0aa219fd0fe5340455e7e79c896b6eb5d6b47cde0fee95e9c9907a0da87c43d7,79
7d2e6ac507ce53fafe86557298cd5fe962c3ff27cff7a3ad718630674fb7988d3d9418ee4fd07f490c6f50563810348e80d63b235121d9e87a8a8e6b936477f8,80
4f7fd7c1ea16af4b1aaab270f6b0d7ddb68e9edd79b1b51ddb6311c63d792d4df306c4dda5ca258afdfdaea64778a161c2a5e381684b2683cbebb7404d1eaf23,81
268adf547f9027a7e3272f0c2ca392dba34fd3e2e1fd4adf868ba868605cb2948221a4eb23ccda3ebe05996a32f12138f82a0b981c5c7baa75f76075d7f4b975,82
e533bfdc483206f9c02c1c879a118d88f0a3ca1cd2703f3cf88e318716bbbb0c71d5f1c5f86b042b4ee1a06dbc750fa840acec0ebaf5fc1d90edbdc215114a1d,83
b649688173599f12325db808703dd3e14653807db2fdde48f5891daa24f8cef4c1a3711ec1881eda1920a36843bff16453782d5761c2d0a434ca1e4319b9f8d8,84
cf5f0f5970c4961f96199dfcb1b11c9835a7fa2db48ff06a4ea0f99f2c14328e0cf5114f2419049133c1ef9d9cbd532e37c5ef642098f55d01ee7ac3b71ab7aa,85
f9448164dcb56f4f31c2b2ad562f31443a01885c2bda20d6325a0747c9857007a024d358c98ed634fba5791a9dcbaf7252302b7dad34fa6bea7e625d2d185d4e,86
b41e8c8124d8d600a4db8b7c176c2956756d378c749cb11c0a8e2c326a4c1cd83cac353869b657c398c9abc2c9d1d4c760905cfd5189595282dbfbe2fb0ce482,87
ed5ea8aa629c794c3ecfef8ef582d7b6077a7a4c25e00034117c4fe367534574946f6e544e8a5f5677d031755555b08c00609a0b0cf29517a8d1d73309004f2b,88
66d3807bc1b0bcf7c3b90c19f7c13356cdd60995199804afe2355e2736bf4a56d616f7f783596da3bdcb6b755c43d8b26818486f213604c04b6ebbcd9b99abc8,89
e34b35da07b018b91f68a25f44455712c65b0795746dc903c7320ba218ccc8e27f0d41ae4003619567080799c98b43a5a4f2575a0baf1020b65b874b872e187d,90
f98ae5e71fdda8806710af321dce58002146886c013f411be2cd336e0c224e78ed85626eeee462f0d1f5e6b29a030514b95f7b1b8ca59888a10b52dfe55ddf99,91
